Date,Symbol,MarketCap,Rank
2019-10-16,BTC,144823993562,1
2019-10-15,BTC,147650082215,1
2019-10-14,BTC,150680499056,1
2019-10-13,BTC,149700817939,1
2019-10-12,BTC,149965767624,1
2019-10-11,BTC,149685618275,1
2019-10-10,BTC,154430515160,1
2019-10-09,BTC,154579656110,1
2019-10-08,BTC,147966069982,1
2019-10-07,BTC,148252589805,1
2019-10-06,BTC,143607672862,1
2019-10-05,BTC,146529229668,1
2019-10-04,BTC,147491804056,1
2019-10-03,BTC,148448162840,1
2019-10-02,BTC,150823797662,1
2019-10-01,BTC,149913972768,1
2019-09-30,BTC,149011567415,1
2019-09-29,BTC,145590374681,1
2019-09-28,BTC,148122503616,1
2019-09-27,BTC,148212635834,1
2019-09-26,BTC,145812492488,1
2019-09-25,BTC,152404005091,1
2019-09-24,BTC,154785821876,1
2019-09-23,BTC,174674558023,1
2019-09-22,BTC,180784051699,1
2019-09-21,BTC,179853287294,1
2019-09-20,BTC,182738947696,1
2019-09-19,BTC,184240949577,1
2019-09-18,BTC,182998899156,1
2019-09-17,BTC,183748515828,1
2019-09-16,BTC,184366827555,1
2019-09-15,BTC,185618174384,1
2019-09-14,BTC,185784300332,1
2019-09-13,BTC,185809163035,1
2019-09-12,BTC,186678943059,1
2019-09-11,BTC,182502788242,1
2019-09-10,BTC,181360731383,1
2019-09-09,BTC,185263578990,1
2019-09-08,BTC,187150078007,1
2019-09-07,BTC,188488525926,1
2019-09-06,BTC,185530405363,1
2019-09-05,BTC,189492405383,1
2019-09-04,BTC,189810010608,1
2019-09-03,BTC,190312487956,1
2019-09-02,BTC,185333114163,1
2019-09-01,BTC,174768292883,1
2019-08-31,BTC,172470743516,1
2019-08-30,BTC,171869216524,1
2019-08-29,BTC,170274910132,1
2019-08-28,BTC,174627460400,1
2019-08-27,BTC,182325540955,1
2019-08-26,BTC,185625235889,1
2019-08-25,BTC,181450186164,1
2019-08-24,BTC,181813631752,1
2019-08-23,BTC,186231409722,1
2019-08-22,BTC,181257125783,1
2019-08-21,BTC,181364502142,1
2019-08-20,BTC,192530283565,1
2019-08-19,BTC,195243306008,1
2019-08-18,BTC,185022920955,1
2019-08-17,BTC,182966857173,1
2019-08-16,BTC,185500055339,1
2019-08-15,BTC,184357666577,1
2019-08-14,BTC,179692803424,1
2019-08-13,BTC,194762696644,1
2019-08-12,BTC,203441494985,1
2019-08-11,BTC,205941632235,1
2019-08-10,BTC,202890020455,1
2019-08-09,BTC,211961319133,1
2019-08-08,BTC,213788089212,1
2019-08-07,BTC,213330426789,1
2019-08-06,BTC,205023347814,1
2019-08-05,BTC,210848822060,1
2019-08-04,BTC,195907875403,1
2019-08-03,BTC,193233960601,1
2019-08-02,BTC,187791090996,1
2019-08-01,BTC,185653203391,1
2019-07-31,BTC,180028959603,1
2019-07-30,BTC,171472452506,1
2019-07-29,BTC,169880343827,1
2019-07-28,BTC,170461958074,1
2019-07-27,BTC,169099540423,1
2019-07-26,BTC,176085968354,1
2019-07-25,BTC,176806451137,1
2019-07-24,BTC,175005760794,1
2019-07-23,BTC,176572890702,1
2019-07-22,BTC,184443440748,1
2019-07-21,BTC,188987475962,1
2019-07-20,BTC,191963691255,1
2019-07-19,BTC,187725578628,1
2019-07-18,BTC,190129918121,1
2019-07-17,BTC,172777250515,1
2019-07-16,BTC,168908640950,1
2019-07-15,BTC,194147627475,1
2019-07-14,BTC,182741933552,1
2019-07-13,BTC,202968191001,1
2019-07-12,BTC,210494417832,1
2019-07-11,BTC,202324174692,1
2019-07-10,BTC,216515999522,1
2019-07-09,BTC,223928128583,1
2019-07-08,BTC,218778355444,1
2019-07-07,BTC,203881891346,1
2019-07-06,BTC,199546110914,1
2019-07-05,BTC,195424678267,1
